concepto,elemento,estadistico,desglose,categoria,unidadMedida,ola,valor
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2005,217.66232883887025
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2005,302.6332816810588
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2005,317.0797985685735
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2005,249.6760234372337
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2005,186.4047391394849
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2005,98.26679928187338
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2002,132.52991617340385
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2002,183.6229567678051
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2002,184.89179854161776
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2002,148.559819616346
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2002,111.50174750376334
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2002,73.37335575135687
