model,did_estimate,ci_lower,ci_upper,pvalue,r_squared
Basic DiD,200.02549261083925,104.34442687718297,295.70655834449553,4.1972074017468204e-05,0.030283131195209867
DiD with FE,200.02549261083814,148.42244990473665,251.62853531693963,3.2256497871238317e-14,0.7284079517304884
