year,farc_category,mean_loss,ci_lower,ci_upper,n_municipalities
2001,High,441.1473354231975,337.216765789006,545.077905057389,319.0
2001,Low,76.25081433224756,60.30377948463774,92.19784917985739,307.0
2001,Medium,141.76678445229683,114.15018133629263,169.38338756830103,283.0
2001,None,122.41904761904762,66.95010160374181,177.88799363435342,210.0
2002,High,406.153605015674,288.02239089756074,524.2848191337872,319.0
2002,Low,44.31596091205212,34.71709538413304,53.9148264399712,307.0
2002,Medium,87.36749116607774,71.96284573232967,102.77213659982581,283.0
2002,None,68.20952380952382,34.52263047189033,101.89641714715731,210.0
2003,High,242.45454545454547,183.45475297751614,301.4543379315748,319.0
2003,Low,47.59934853420195,30.86920898712818,64.32948808127573,307.0
2003,Medium,73.14134275618375,55.779084301880594,90.50360121048689,283.0
2003,None,46.38095238095238,27.462984565602174,65.29892019630259,210.0
2004,High,533.5956112852665,358.95895999598235,708.2322625745506,319.0
2004,Low,63.33550488599349,49.07103201454707,77.5999777574399,307.0
2004,Medium,139.81978798586573,113.0194956001159,166.62008037161556,283.0
2004,None,117.1952380952381,58.91721093249069,175.4732652579855,210.0
2005,High,410.40752351097177,287.14430668749884,533.6707403344446,319.0
2005,Low,43.3485342019544,33.82734145402894,52.86972694987986,307.0
2005,Medium,105.47703180212014,84.99428458746223,125.95977901677804,283.0
2005,None,69.48095238095237,33.099105729477984,105.86279903242676,210.0
2006,High,393.5391849529781,285.369504579146,501.70886532681016,319.0
2006,Low,51.39413680781759,39.765957982474504,63.02231563316067,307.0
2006,Medium,116.83745583038869,94.20207927482689,139.47283238595048,283.0
2006,None,73.76666666666667,35.36590417634125,112.16742915699209,210.0
2007,High,606.5297805642633,359.62411279774824,853.4354483307784,319.0
2007,Low,55.9185667752443,42.9018515853537,68.9352819651349,307.0
2007,Medium,124.74911660777386,100.38457088900982,149.1136623265379,283.0
2007,None,109.87619047619047,34.97926779181324,184.7731131605677,210.0
2008,High,507.1065830721003,328.15122655852707,686.0619395856736,319.0
2008,Low,56.94462540716612,43.37270294066648,70.51654787366577,307.0
2008,Medium,118.4452296819788,96.79271817589438,140.09774118806322,283.0
2008,None,90.27142857142857,54.236376133236035,126.30648100962111,210.0
2009,High,486.63009404388714,378.7566008108422,594.5035872769321,319.0
2009,Low,65.47882736156352,52.34350476021467,78.61414996291236,307.0
2009,Medium,145.02826855123675,120.3431539391344,169.7133831633391,283.0
2009,None,101.43333333333334,56.34257656016021,146.52409010650646,210.0
2010,High,411.9623824451411,306.0365634571118,517.8882014331704,319.0
2010,Low,47.99674267100977,37.548877777973885,58.444607564045654,307.0
2010,Medium,115.17314487632508,91.29094747147322,139.05534228117693,283.0
2010,None,86.89047619047619,47.65984392193811,126.12110845901427,210.0
2011,High,413.56739811912223,277.22517390752967,549.9096223307148,319.0
2011,Low,48.8957654723127,38.43305800657424,59.358472938051165,307.0
2011,Medium,102.29328621908127,83.29640000346348,121.29017243469906,283.0
2011,None,66.23333333333333,32.13410842671232,100.33255823995435,210.0
2012,High,457.22257053291537,348.8591744775327,565.585966588298,319.0
2012,Low,63.54397394136808,49.95638029577736,77.1315675869588,307.0
2012,Medium,149.42049469964664,121.12278198368647,177.7182074156068,283.0
2012,None,94.95238095238095,60.46042173807631,129.44434016668558,210.0
2013,High,325.9623824451411,209.60339226744907,442.3213726228331,319.0
2013,Low,25.95114006514658,19.115322959608783,32.786957170684374,307.0
2013,Medium,59.24734982332156,43.979716893809055,74.51498275283406,283.0
2013,None,48.214285714285715,27.647357686871207,68.78121374170023,210.0
2014,High,469.2601880877743,304.2919264881042,634.2284496874444,319.0
2014,Low,42.726384364820845,31.143000691474235,54.309768038167455,307.0
2014,Medium,88.80212014134275,68.08500895868703,109.51923132399848,283.0
2014,None,66.93333333333334,38.035650807899295,95.83101585876739,210.0
2015,High,316.8808777429467,220.09697472256255,413.6647807633309,319.0
2015,Low,30.37459283387622,20.16141738850029,40.58776827925215,307.0
2015,Medium,71.76325088339223,51.79206643623095,91.73443533055351,283.0
2015,None,48.45238095238095,24.81573554523536,72.08902635952654,210.0
2016,High,639.2727272727273,456.5983395638606,821.9471149815939,319.0
2016,Low,60.99674267100977,44.230757782797895,77.76272755922164,307.0
2016,Medium,153.113074204947,103.08477642900651,203.14137198088747,283.0
2016,None,118.37619047619047,58.138612875119215,178.61376807726174,210.0
2017,High,954.0031347962382,673.8229401593566,1234.18332943312,319.0
2017,Low,88.19543973941369,66.23794520721665,110.15293427161072,307.0
2017,Medium,216.56183745583039,165.89553113550005,267.2281437761607,283.0
2017,None,152.10476190476192,74.79270654770802,229.41681726181582,210.0
2018,High,858.6896551724138,524.4437009760939,1192.9356093687338,319.0
2018,Low,54.534201954397396,39.16234344400253,69.90606046479226,307.0
2018,Medium,124.69964664310955,92.66091316405584,156.73838012216325,283.0
2018,None,125.08095238095238,30.154323380504763,220.0075813814,210.0
2019,High,616.6739811912225,430.76435440298565,802.5836079794594,319.0
2019,Low,46.32247557003257,33.1709174336694,59.474033706395744,307.0
2019,Medium,120.98233215547704,88.68895940715069,153.2757049038034,283.0
2019,None,110.91428571428571,53.00407158507334,168.82449984349807,210.0
2020,High,772.2319749216301,500.8991329803755,1043.5648168628848,319.0
2020,Low,57.77524429967427,35.528615452159976,80.02187314718856,307.0
2020,Medium,122.47703180212014,88.50056778855503,156.45349581568524,283.0
2020,None,121.24761904761905,43.44019680257274,199.05504129266535,210.0
2021,High,624.0532915360502,415.07983799679386,833.0267450753065,319.0
2021,Low,40.931596091205215,28.68463060343893,53.1785615789715,307.0
2021,Medium,111.62190812720848,80.42051532344419,142.82330093097278,283.0
2021,None,104.37142857142857,29.08940122481505,179.65345591804208,210.0
2022,High,628.0407523510971,416.78463314358123,839.296871558613,319.0
2022,Low,44.693811074918564,30.474534912190492,58.913087237646636,307.0
2022,Medium,104.62897526501767,76.16958147859262,133.08836905144273,283.0
2022,None,104.82857142857142,44.36635451435451,165.29078834278835,210.0
2023,High,409.2884012539185,309.1589963339535,509.4178061738835,319.0
2023,Low,51.9413680781759,37.09615811789932,66.78657803845248,307.0
2023,Medium,121.87985865724382,93.66293768163432,150.0967796328533,283.0
2023,None,74.43809523809524,47.663202614306485,101.212987861884,210.0
2024,High,488.55485893416926,323.1106920169632,653.9990258513753,319.0
2024,Low,41.0814332247557,29.238328552472687,52.92453789703871,307.0
2024,Medium,89.14487632508833,68.92132426505046,109.36842838512621,283.0
2024,None,92.04285714285714,27.835762576021978,156.2499517096923,210.0
