variable,coef,ci_lower,ci_upper,pvalue,significant,label
farc_historico,182.6916449082222,146.92679665379535,218.45649316264905,1.2646789564520024e-22,yes,FARC histórico (pre-2016)
disidencias_post,90.64344381097861,55.7113733134571,125.57551430850012,4.217292733632231e-07,yes,Disidencias FARC (post-2016)
eln_post,-43.969637886115315,-79.32460652179024,-8.614669250440386,0.01483880701240691,yes,ELN (post-2016)
gaitanistas_post,-15.31791477567161,-48.225714362317696,17.589884810974475,0.36124656438123115,no,Gaitanistas (post-2016)
