municipio,year,hectares_lost
CUBARA,2001,72
CUCAITA,2001,0
CUITIVA,2001,12
COMBITA,2001,2
DUITAMA,2001,11
EL COCUY,2001,5
EL ESPINO,2001,1
FIRAVITOBA,2001,5
FLORESTA,2001,4
GACHANTIVA,2001,4
GARAGOA,2001,3
GUACAMAYAS,2001,1
GUATEQUE,2001,0
GUAYATA,2001,2
GAMEZA,2001,0
GUICAN,2001,6
IZA,2001,2
JENESANO,2001,6
JERICO,2001,5
LA CAPILLA,2001,0
LA UVITA,2001,9
LA VICTORIA,2001,6
LABRANZAGRANDE,2001,40
MACANAL,2001,5
MARIPI,2001,17
MIRAFLORES,2001,2
MONGUA,2001,19
MONGUI,2001,1
MONIQUIRA,2001,33
MOTAVITA,2001,1
MUZO,2001,8
NOBSA,2001,0
NUEVO COLON,2001,5
OICATA,2001,3
OTANCHE,2001,155
PACHAVITA,2001,1
PAIPA,2001,39
PAJARITO,2001,17
PANQUEBA,2001,1
PAUNA,2001,29
PAYA,2001,39
PAZ DE RIO,2001,4
PESCA,2001,14
PISBA,2001,25
PUERTO BOYACA,2001,991
PAEZ,2001,5
QUIPAMA,2001,35
RAMIRIQUI,2001,3
RONDON,2001,5
RAQUIRA,2001,13
SABOYA,2001,19
SAMACA,2001,13
SAN EDUARDO,2001,2
SAN JOSE DE PARE,2001,25
SAN LUIS DE GACENO,2001,23
SAN MATEO,2001,4
SAN MIGUEL DE SEMA,2001,21
SAN PABLO DE BORBUR,2001,24
SANTA MARIA,2001,14
SANTA ROSA DE VITERBO,2001,3
SANTA SOFIA,2001,2
SANTANA,2001,32
SATIVANORTE,2001,5
SATIVASUR,2001,6
SIACHOQUE,2001,2
SOATA,2001,5
SOCHA,2001,4
SOCOTA,2001,30
SOGAMOSO,2001,11
SOMONDOCO,2001,3
SORA,2001,1
SORACA,2001,2
SOTAQUIRA,2001,13
SUSACON,2001,11
SUTAMARCHAN,2001,2
SUTATENZA,2001,0
SACHICA,2001,0
TASCO,2001,2
TENZA,2001,1
TIBANA,2001,2
TIBASOSA,2001,9
TINJACA,2001,5
TIPACOQUE,2001,0
TOCA,2001,3
TOGUI,2001,30
TOPAGA,2001,2
TOTA,2001,5
TUNJA,2001,2
TUNUNGUA,2001,4
TURMEQUE,2001,1
TUTA,2001,14
TUTAZA,2001,1
UMBITA,2001,4
VENTAQUEMADA,2001,17
VILLA DE LEYVA,2001,5
VIRACACHA,2001,1
ZETAQUIRA,2001,8
AGUADAS,2001,138
ANSERMA,2001,51
ARANZAZU,2001,10
BELALCAZAR,2001,39
