año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
2003,FLORIDA,VALLE DEL CAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,3.324118,-76.234199
2003,BELTRAN,CUNDINAMARCA,GUERRILLA,,DF_Desaparicion_Forzada,4.791721105,-74.71491399
2003,TIERRALTA,CORDOBA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,7.813896829,-76.16846678
2003,TAME,ARAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.390650479,-71.79178647
2003,BECERRIL,CESAR,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,9.624161528,-73.21353005
2003,EL CASTILLO,META,DESCONOCIDO,,DF_Desaparicion_Forzada,3.60282633,-73.89445238
2003,TIBU,NORTE DE SANTANDER,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,8.998278492,-72.89972106
2003,EL TARRA,NORTE DE SANTANDER,DESCONOCIDO,,DF_Desaparicion_Forzada,8.678263671,-73.0317597
2003,PUERTO LEGUIZAMO,PUTUMAYO,GUERRILLA,,DF_Desaparicion_Forzada,0.05947197,-75.06479327
2003,PUERTO LEGUIZAMO,PUTUMAYO,GUERRILLA,,DF_Desaparicion_Forzada,0.05947197,-75.06479327
2003,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,6.257590259,-75.61103107
2003,REMEDIOS,ANTIOQUIA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DE META Y VICHADA,DF_Desaparicion_Forzada,6.997267375,-74.55865652
2003,PUERTO BOYACA,BOYACA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.953466654,-74.4528581
2003,PUERTO LEGUIZAMO,PUTUMAYO,GUERRILLA,,DF_Desaparicion_Forzada,0.05947197,-75.06479327
2003,SAN AGUSTIN,HUILA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,1.924165493,-76.4165655
2003,PUERTO BOYACA,BOYACA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.953466654,-74.4528581
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,PAILITAS,CESAR,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,DF_Desaparicion_Forzada,8.938916143,-73.57247213
2003,MONTERREY,CASANARE,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,4.841308642,-72.8473434
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,VILLAVICENCIO,META,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,DF_Desaparicion_Forzada,4.09166877,-73.49291594
2003,SAN JACINTO,BOLIVAR,DESCONOCIDO,,DF_Desaparicion_Forzada,9.835362011,-75.10609201
2003,SAN ALBERTO,CESAR,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,7.709382104,-73.43277488
2003,VILLANUEVA,LA GUAJIRA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,10.58364755,-72.97520286
2003,RICAURTE,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.147671848,-78.05811118
2003,EL COPEY,CESAR,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,10.19545725,-73.97009592
2003,ANGELOPOLIS,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.121430303,-75.71594966
2003,EL CARMEN,NORTE DE SANTANDER,DESCONOCIDO,,DF_Desaparicion_Forzada,8.867990035,-73.34585922
2003,ZONA BANANERA,MAGDALENA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,10.79634658,-74.17798317
2003,LA DORADA,CALDAS,DESCONOCIDO,,DF_Desaparicion_Forzada,5.410515691,-74.72114262
2003,PASTO,NARIÑO,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,1.083605497,-77.20610074
2003,PASTO,NARIÑO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,1.083605497,-77.20610074
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,EL CASTILLO,META,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,DF_Desaparicion_Forzada,3.60282633,-73.89445238
2003,GIRARDOT,CUNDINAMARCA,GUERRILLA,,DF_Desaparicion_Forzada,4.338154518,-74.81143922
2003,SARAVENA,ARAUCA,GUERRILLA,,DF_Desaparicion_Forzada,6.953926,-71.872812
2003,NARIÑO,ANTIOQUIA,GUERRILLA,,DF_Desaparicion_Forzada,5.581275312,-75.19457019
2003,CURILLO,CAQUETA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,1.033473,-75.919205
2003,CURILLO,CAQUETA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,1.115379292,-75.97328452
2003,AGUA DE DIOS,CUNDINAMARCA,DESCONOCIDO,,DF_Desaparicion_Forzada,4.372744676,-74.67111051
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,EL TARRA,NORTE DE SANTANDER,DESCONOCIDO,,DF_Desaparicion_Forzada,8.678263671,-73.0317597
2003,SAN JOSE DEL GUAVIARE,GUAVIARE,DESCONOCIDO,,DF_Desaparicion_Forzada,2.484286091,-71.91916993
2003,SIN INFORMACION,SIN INFORMACION,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,4.0,-72.0
2003,CURILLO,CAQUETA,GRUPO PARAMILITAR,BLOQUE CENTRAL BOLÍVAR,DF_Desaparicion_Forzada,1.115379292,-75.97328452
2003,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,0.423506,-76.906751
2003,HONDA,TOLIMA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.179416561,-74.78303094
2003,NEIVA,HUILA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,2.993360046,-75.27236232
2003,SAN SEBASTIAN DE MARIQUITA,TOLIMA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,5.235322593,-74.90668089
2003,TIBU,NORTE DE SANTANDER,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,8.998278492,-72.89972106
2003,ARGELIA,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,5.708114524,-75.09469795
2003,CAREPA,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.757967437,-76.64374657
2003,COCORNA,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.005593074,-75.16015403
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2004,HONDA,TOLIMA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.201633,-74.741367
2003,SAN LUIS,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.024205956,-75.0076674
2003,CORDOBA,BOLIVAR,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,9.540047515,-74.89445635
2003,GRANADA,ANTIOQUIA,GUERRILLA,FARC,DF_Desaparicion_Forzada,6.123380721,-75.12763646
2003,PUERTO ASIS,PUTUMAYO,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,0.505627,-76.496887
2003,COPACABANA,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.351882893,-75.50075633
2003,NUNCHIA,CASANARE,DESCONOCIDO,,DF_Desaparicion_Forzada,5.529181235,-72.09251937
2003,BECERRIL,CESAR,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,9.727732939,-73.25250522
2003,PLATO,MAGDALENA,DESCONOCIDO,,DF_Desaparicion_Forzada,9.76945611,-74.60181576
2003,SEGOVIA,ANTIOQUIA,GUERRILLA,,DF_Desaparicion_Forzada,7.26692339,-74.62163926
2003,FLORENCIA,CAQUETA,GRUPO PARAMILITAR,BLOQUE CENTRAL BOLÍVAR,DF_Desaparicion_Forzada,1.749138704,-75.55823906
2003,SEGOVIA,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,7.26692339,-74.62163926
2003,OVEJAS,SUCRE,DESCONOCIDO,,DF_Desaparicion_Forzada,9.549655271,-75.18855916
2003,BARRANCABERMEJA,SANTANDER,DESCONOCIDO,,DF_Desaparicion_Forzada,7.054074558,-73.78211646
2003,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,6.257590259,-75.61103107
2003,PAJARITO,BOYACA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,5.382328949,-72.69672674
2003,GRANADA,META,GUERRILLA,,DF_Desaparicion_Forzada,3.441051399,-73.7611547
2003,AGUSTIN CODAZZI,CESAR,DESCONOCIDO,,DF_Desaparicion_Forzada,10.040454,-73.238389
2003,PUERTO ASIS,PUTUMAYO,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,0.594662822,-76.56693801
2003,BARBACOAS,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.44563774,-78.15621072
2003,PITALITO,HUILA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,1.848217185,-76.05217643
2003,EL CARMEN DE VIBORAL,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,5.978078841,-75.2635361
2003,ITUANGO,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.341549718,-75.67842277
2002,ANSERMA,CALDAS,DESCONOCIDO,,DF_Desaparicion_Forzada,5.20029922,-75.75289078
2003,TURBO,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,8.173851745,-76.5740377
2003,VALLEDUPAR,CESAR,DESCONOCIDO,,DF_Desaparicion_Forzada,10.21890277,-73.45784764
2003,FACATATIVA,CUNDINAMARCA,GUERRILLA,,DF_Desaparicion_Forzada,4.834052334,-74.3380229
2003,PUERTO RICO,META,GUERRILLA,,DF_Desaparicion_Forzada,2.758083657,-73.13780171
2003,CAICEDONIA,VALLE DEL CAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,4.308997973,-75.83672567
2003,PLATO,MAGDALENA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,9.76945611,-74.60181576
2003,SANTA MARTA,MAGDALENA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,11.12189436,-73.88527855
2003,EL LITORAL DEL SAN JUAN,CHOCO,GUERRILLA,FARC,DF_Desaparicion_Forzada,4.272940191,-76.98785828
2003,TARAZA,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,7.488875998,-75.40189438
2003,ALBANIA,CAQUETA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,1.22786549,-75.88232651
2003,SARAVENA,ARAUCA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,6.953926,-71.872812
2003,ARGELIA,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,5.708114524,-75.09469795
2003,GRANADA,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.123380721,-75.12763646
2003,MEDELLIN,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.257590259,-75.61103107
2003,PUEBLO BELLO,CESAR,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,10.41736874,-73.61450632
2003,SAN MARTIN,META,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,3.515860962,-72.65672742
2003,PUERTO RICO,CAQUETA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,2.018940891,-75.07308627
2003,SAN CARLOS,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,6.193789659,-74.90732769
2003,SEVILLA,VALLE DEL CAUCA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,4.267033,-75.930941
2003,GUATICA,RISARALDA,GUERRILLA,,DF_Desaparicion_Forzada,5.320295966,-75.80436659
2003,SABANAGRANDE,ATLANTICO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,10.791063,-74.75847
2003,PUERTO BOYACA,BOYACA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.836379075,-74.33998965
2003,SANTA MARTA,MAGDALENA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,11.12189436,-73.88527855
2003,BARRANCABERMEJA,SANTANDER,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,7.054074558,-73.78211646
2003,TIBU,NORTE DE SANTANDER,DESCONOCIDO,,DF_Desaparicion_Forzada,8.713507237,-72.79925855
2003,SAMANIEGO,NARIÑO,GUERRILLA,,DF_Desaparicion_Forzada,1.430555262,-77.69179559
2003,SAN JUAN DE ARAMA,META,DESCONOCIDO,,DF_Desaparicion_Forzada,3.289851171,-73.81635243
2003,SAN CARLOS DE GUAROA,META,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,3.84761678,-73.27583401
2003,CIENAGA,MAGDALENA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,10.85754552,-74.02500493
2003,SANTA MARTA,MAGDALENA,DESCONOCIDO,,DF_Desaparicion_Forzada,11.12189436,-73.88527855
2003,SAMANA,CALDAS,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,5.519692873,-74.99718577
2003,SAN CARLOS,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.193789659,-74.90732769
2003,ITUANGO,ANTIOQUIA,GUERRILLA,FARC,DF_Desaparicion_Forzada,7.341549718,-75.67842277
2003,ITUANGO,ANTIOQUIA,GUERRILLA,FARC,DF_Desaparicion_Forzada,7.341549718,-75.67842277
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,SARAVENA,ARAUCA,GUERRILLA,,DF_Desaparicion_Forzada,6.906941714,-71.85070757
2003,BELLO,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.333587,-75.555245
2003,PUERTO BOYACA,BOYACA,DESCONOCIDO,,DF_Desaparicion_Forzada,5.906916451,-74.34741519
2003,FUNDACION,MAGDALENA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,10.40157506,-74.1079065
2003,LA DORADA,CALDAS,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.410515691,-74.72114262
2003,SAN ROQUE,ANTIOQUIA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,6.466165211,-74.9450732
2003,EL BAGRE,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.704633351,-74.66427726
2003,CONSACA,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.209066732,-77.44063921
2003,SANTA ROSA,BOLIVAR,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,10.46920726,-75.36116053
2003,POPAYAN,CAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,2.471704362,-76.59194419
2003,FLORENCIA,CAQUETA,DESCONOCIDO,,DF_Desaparicion_Forzada,1.749138704,-75.55823906
2003,TARAZA,ANTIOQUIA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,7.488875998,-75.40189438
2003,CARTAGENA DE INDIAS,BOLIVAR,DESCONOCIDO,,DF_Desaparicion_Forzada,10.385126,-75.496269
2003,GRANADA,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.123380721,-75.12763646
2003,SAN ANDRES DE TUMACO,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.574550638,-78.61540963
2003,ORITO,PUTUMAYO,DESCONOCIDO,,DF_Desaparicion_Forzada,0.673756323,-76.94313923
2003,TAME,ARAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.390650479,-71.79178647
2003,FLORIDA,VALLE DEL CAUCA,GUERRILLA,,DF_Desaparicion_Forzada,3.304104295,-76.16477307
2003,VISTAHERMOSA,META,GUERRILLA,,DF_Desaparicion_Forzada,2.811616698,-73.66652234
2003,VISTAHERMOSA,META,GUERRILLA,,DF_Desaparicion_Forzada,2.811616698,-73.66652234
2003,GRANADA,META,DESCONOCIDO,,DF_Desaparicion_Forzada,3.441051399,-73.7611547
2003,SABANAS DE SAN ANGEL,MAGDALENA,DESCONOCIDO,,DF_Desaparicion_Forzada,10.10533028,-74.2644392
2003,CARTAGENA DE INDIAS,BOLIVAR,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,10.46343362,-75.45889915
2003,"BOGOTA, D.C.","BOGOTA, D. C.",GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,4.316107698,-74.1810727
2003,GRANADA,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,6.123380721,-75.12763646
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,SIN INFORMACION,SIN INFORMACION,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,BUENAVENTURA,VALLE DEL CAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,3.998361639,-76.97519277
2003,CIENAGA,MAGDALENA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,10.91502312,-74.04922313
2003,SAN ESTANISLAO,BOLIVAR,DESCONOCIDO,,DF_Desaparicion_Forzada,10.36468192,-75.20523487
2003,PUERTO BERRIO,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.481922267,-74.5287421
2003,DIBULLA,LA GUAJIRA,DESCONOCIDO,,DF_Desaparicion_Forzada,11.09029715,-73.43568788
2003,MEDELLIN,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.257590259,-75.61103107
2003,HISPANIA,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,5.797039002,-75.90669203
2003,EL PEÑON,SANTANDER,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,6.123389691,-74.00040397
2003,SAN JOSE DEL GUAVIARE,GUAVIARE,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,2.484286091,-71.91916993
2003,MIRAFLORES,GUAVIARE,GUERRILLA,,DF_Desaparicion_Forzada,1.363974932,-72.0181095
2003,MISTRATO,RISARALDA,GUERRILLA,FARC,DF_Desaparicion_Forzada,5.414078141,-75.96135387
2003,VALLE DEL GUAMUEZ,PUTUMAYO,DESCONOCIDO,,DF_Desaparicion_Forzada,0.423506,-76.906751
2003,EL BAGRE,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.704633351,-74.66427726
2003,BARBACOAS,NARIÑO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,1.335285481,-78.1182238
2003,VALLEDUPAR,CESAR,DESCONOCIDO,,DF_Desaparicion_Forzada,10.21890277,-73.45784764
2003,"BOGOTA, D.C.","BOGOTA, D. C.",GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,4.316107698,-74.1810727
2003,PUERTO BERRIO,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.481922267,-74.5287421
2003,PUERTO BERRIO,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.481922267,-74.5287421
2003,PUERTO BERRIO,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.481922267,-74.5287421
2003,PUERTO BERRIO,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.481922267,-74.5287421
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,SIN INFORMACION,SIN INFORMACION,GUERRILLA,FARC,DF_Desaparicion_Forzada,4.0,-72.0
2003,GUATEQUE,BOYACA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,5.01450831,-73.48812352
2003,MARULANDA,CALDAS,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,5.235585244,-75.28316648
2003,DIBULLA,LA GUAJIRA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,11.09029715,-73.43568788
2003,DIBULLA,LA GUAJIRA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,11.09029715,-73.43568788
2003,EL BAGRE,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,7.704633351,-74.66427726
2003,SAN ANDRES DE TUMACO,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.574550638,-78.61540963
2003,SAN ANDRES DE TUMACO,NARIÑO,GUERRILLA,,DF_Desaparicion_Forzada,1.574550638,-78.61540963
2003,MONTELIBANO,CORDOBA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.866432635,-75.87533926
2003,BARBOSA,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,6.443417935,-75.32924085
2003,VALLEDUPAR,CESAR,GRUPO ARMADO NO DIRIMIDO,,DF_Desaparicion_Forzada,10.21890277,-73.45784764
2000,VIANI,CUNDINAMARCA,DESCONOCIDO,,DF_Desaparicion_Forzada,4.914040619,-74.54936655
2003,SAN ANDRES DE TUMACO,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.574550638,-78.61540963
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,PUERTO GUZMAN,PUTUMAYO,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,0.746432215,-75.88022978
2003,PUERTO BOYACA,BOYACA,DESCONOCIDO,,DF_Desaparicion_Forzada,5.953466654,-74.4528581
2003,BUENAVENTURA,VALLE DEL CAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,3.493340766,-77.11872831
2003,TULUA,VALLE DEL CAUCA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,4.02840797,-76.03250379
2003,MALAMBO,ATLANTICO,DESCONOCIDO,,DF_Desaparicion_Forzada,10.851407,-74.778892
2003,AGUSTIN CODAZZI,CESAR,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,9.949215908,-73.22358244
2003,FUNDACION,MAGDALENA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,10.45937818,-73.88406518
2003,POLICARPA,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.735354202,-77.48134359
2003,LA CELIA,RISARALDA,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,4.988127679,-76.00822678
2003,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,0.42012589,-76.77067026
2003,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,0.42012589,-76.77067026
2003,BETULIA,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.115208,-75.984452
2003,PUERTO BOYACA,BOYACA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.953466654,-74.4528581
2003,PUERTO BOYACA,BOYACA,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO,DF_Desaparicion_Forzada,5.939775,-74.50043
2003,CURUMANI,CESAR,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,9.201716,-73.540843
2003,RIOHACHA,LA GUAJIRA,DESCONOCIDO,,DF_Desaparicion_Forzada,11.528588,-72.911797
2003,LA JAGUA DE IBIRICO,CESAR,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,9.52099808,-73.32249338
2003,SANTA ROSA,BOLIVAR,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,10.46920726,-75.36116053
2003,POLICARPA,NARIÑO,DESCONOCIDO,,DF_Desaparicion_Forzada,1.735354202,-77.48134359
2003,CHIGORODO,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.631665644,-76.63964213
2003,SANTA MARTA,MAGDALENA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,DF_Desaparicion_Forzada,11.24746236,-73.83616161
2003,MORELIA,CAQUETA,DESCONOCIDO,,DF_Desaparicion_Forzada,1.487623,-75.724581
2003,PUERTO BERRIO,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.481922267,-74.5287421
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,YOPAL,CASANARE,GRUPO ARMADO NO IDENTIFICADO,,DF_Desaparicion_Forzada,5.242744761,-72.25802857
2003,URIBE,META,DESCONOCIDO,,DF_Desaparicion_Forzada,3.047726858,-74.43066134
2003,EL CARMEN DE VIBORAL,ANTIOQUIA,GUERRILLA,FARC,DF_Desaparicion_Forzada,5.978078841,-75.2635361
2003,CARTAGENA DEL CHAIRA,CAQUETA,GUERRILLA,,DF_Desaparicion_Forzada,0.647693081,-74.27235499
2003,TIBU,NORTE DE SANTANDER,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,8.998278492,-72.89972106
2003,ALEJANDRIA,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.365534125,-75.09059702
2003,PELAYA,CESAR,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,8.764116734,-73.63295546
2003,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,,DF_Desaparicion_Forzada,6.257590259,-75.61103107
2003,CAUCASIA,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.867941792,-75.03501824
2003,SIN INFORMACION,SIN INFORMACION,DESCONOCIDO,,DF_Desaparicion_Forzada,4.0,-72.0
2003,POPAYAN,CAUCA,DESCONOCIDO,,DF_Desaparicion_Forzada,2.471704362,-76.59194419
2003,CHIGORODO,ANTIOQUIA,DESCONOCIDO,,DF_Desaparicion_Forzada,7.631665644,-76.63964213
